sno,pattern,duration,direction,confidence_level,passfail,break_day,num_days,points,percent_change
1,downtrend_break,60,up,strong,pass,next_day,2,250,1.2
2,high_break,55,up,mild,pass,same_day,2,150,0.7
3,descending_triangle,34,up,mild,pass,same_day,0,80,0.4
4,risingwedge_uptrend,10,down,weak,fail,next_day,0,0,0
5,high_break,209,up,strong,pass,same_day,4,480,2.5
6,risingwedge_uptrend,13,down,mild,pass,same_day,0,70,0.3
7,high_break,11,up,mild,pass,endof_day,0,100,0.5
8,downtrend_break,48,up,strong,pass,same_day,5,310,1.7
9,high_break,10,up,strong,pass,endof_day,1,130,0.7
10,low_break,32,down,strong,pass,same_day,0,150,0.8
11,channel_down,76,up,strong,pass,endof_day,0,80,0.4
12,high_break,25,up,mild,pass,next_day,0,25,0.1
13,downtrend_break,29,up,strong,pass_backtest,next_day,0,0,0
14,high_break,48,up,weak,pass,next_day,0,40,0.2
15,high_break,55,up,strong,pass,next_day,3,500,2.9
16,channel_sideway,3,down,mild,pass,same_day,0,200,1.2
17,channel_sideway,2,up,mild,pass,next_day,0,150,0.9
18,channel_down,9,up,weak,fail,next_day,0,0,0
19,downtrend_break,52,up,strong,pass,next_day,0,100,0.6
20,symmetrical_triangle,42,up,mild,pass,next_day,2,120,0.7
21,descending_triangle,30,down,strong,pass,next_day,0,230,1.3
22,channel_down,72,up,strong,pass,next_day,4,500,2.8
23,symmetrical_triangle,17,up,mild,pass_backtest,next_day,3,400,2.2
24,channel_sideway,9,up,mild,pass,next_day,2,150,0.9
25,ascending_triangle,13,up,mild,pass,next_day,3,250,1.2
26,descending_triangle,12,up,mild,pass,next_day,2,250,1.13
27,channel_down,14,up,mild,pass_backtest,next_day,3,200,0.9
28,channel_down,14,up,mild,pass_backtest,next_day,2,150,0.6
29,channel_up,11,down,strong,pass_backtest,same_day,0,100,0.4
30,channel_down,4,up,mild,pass,same_day,1,130,0.5
31,channel_up,11,down,strong,fail,same_day,0,0,0
32,channel_down,4,up,strong,pass,next_day,0,200,0.8
33,ascending_triangle,3,up,strong,fail,next_day,1,0,0
34,channel_up,11,up,strong,backtest,next_day,11,200,0.8
